Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA▼,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
112,Ray Knight\knighra01,34,BAL,AL,150,609,563,46,144,24,0,14,65,0,0,39,90,0.256,0.31,0.373,0.683,83,210,16,6,0,1,3,*5D/3H
113,Greg Walker*\walkegr01,27,CHW,AL,157,652,566,85,145,33,2,27,94,2,1,75,112,0.256,0.346,0.465,0.81,111,263,12,5,1,5,7,*3/HD
114,Dave Parker*\parkeda01,36,CIN,NL,153,647,589,77,149,28,0,26,97,7,3,44,104,0.253,0.311,0.433,0.744,92,255,14,8,0,6,13,*9/3H
115,Cal Ripken Jr.\ripkeca01,26,BAL,AL,162,717,624,97,157,28,3,27,98,3,5,81,77,0.252,0.333,0.436,0.769,105,272,19,1,0,11,0,*6
116,Dale Sveum#\sveumda01,23,MIL,AL,153,586,535,86,135,27,3,25,95,2,6,40,133,0.252,0.303,0.454,0.757,95,243,11,1,5,5,4,*64/H
117,Glenn Davis\davisgl01,26,HOU,NL,151,635,578,70,145,35,2,27,93,4,1,47,84,0.251,0.31,0.458,0.769,104,265,16,5,0,5,10,*3/H
118,Dick Schofield\schofdi02,24,CAL,AL,134,531,479,52,120,17,3,9,46,19,3,37,63,0.251,0.305,0.355,0.66,77,170,4,2,10,3,0,*6/4D
119,Tony Bernazard#\bernato01,30,TOT,AL,140,573,507,73,127,26,2,14,49,11,8,55,79,0.25,0.323,0.393,0.716,92,199,10,1,7,3,2,*4/HD
120,Chili Davis#\davisch01,27,SFG,NL,149,578,500,80,125,22,1,24,76,16,9,72,109,0.25,0.344,0.442,0.786,111,221,8,2,0,4,15,*89H7
121,Terry Kennedy*\kennete02,31,BAL,AL,143,549,512,51,128,13,1,18,62,1,0,35,112,0.25,0.299,0.385,0.684,83,197,13,1,1,0,6,*2/H
122,Jim Morrison\morriji01,34,TOT,MLB,130,504,465,56,116,23,2,13,65,10,6,29,83,0.249,0.292,0.391,0.684,80,182,10,2,1,7,3,564H/D937
123,Gary Ward\wardga01,33,NYY,AL,146,569,529,65,131,22,1,16,78,9,1,33,101,0.248,0.291,0.384,0.675,78,203,20,1,2,4,2,7D8H3/9
124,Jim Presley\preslji01,25,SEA,AL,152,622,575,78,142,23,6,24,88,2,0,38,157,0.247,0.296,0.433,0.729,87,249,15,4,1,4,1,*5/6HD
125,Jack Howell*\howelja02,25,CAL,AL,138,511,449,64,110,18,5,23,64,4,3,57,118,0.245,0.331,0.461,0.792,110,207,7,2,1,2,4,75H94
126,Lance Parrish\parrila02,31,PHI,NL,130,518,466,42,114,21,0,17,67,0,1,47,104,0.245,0.313,0.399,0.712,85,186,23,1,1,3,2,*2/H
127,Frank White\whitefr01,36,KCR,AL,154,624,563,67,138,32,2,17,78,1,3,51,86,0.245,0.308,0.4,0.708,85,225,16,2,4,4,5,*4/HD
128,Willie Upshaw*\upshawi01,30,TOR,AL,150,577,512,68,125,22,4,15,58,10,11,58,78,0.244,0.324,0.391,0.715,87,200,7,3,3,1,4,*3H
129,Rob Deer\deerro01,26,MIL,AL,134,566,474,71,113,15,2,28,80,12,4,86,186,0.238,0.36,0.456,0.816,113,216,4,5,0,1,6,*793/DH
130,Gary Redus\redusga01,30,CHW,AL,130,554,475,78,112,26,6,12,48,52,11,69,90,0.236,0.328,0.392,0.72,89,186,7,0,3,7,0,*798/HD
131,Cory Snyder\snydeco02,24,CLE,AL,157,615,577,74,136,24,2,33,82,5,1,31,166,0.236,0.273,0.456,0.729,89,263,3,1,0,6,4,*967/H
132,Gary Carter\cartega01,33,NYM,NL,139,573,523,55,123,18,2,20,83,0,0,42,73,0.235,0.29,0.392,0.682,83,205,14,1,1,6,1,*2/H39
133,Doug DeCinces\decindo01,36,TOT,MLB,137,539,462,66,108,25,0,16,64,3,4,70,89,0.234,0.335,0.392,0.727,95,181,10,2,2,3,6,*5H/3D6
134,Mike Pagliarulo*\paglimi01,27,NYY,AL,150,582,522,76,122,26,3,32,87,1,3,53,111,0.234,0.305,0.479,0.784,105,250,9,2,2,3,9,*5/H3
135,Garry Templeton#\templga01,31,SDP,NL,148,561,510,42,113,13,5,5,48,14,3,42,92,0.222,0.281,0.296,0.577,56,151,15,1,5,3,11,*6/H
"135,Garry Templeton#\templga01,31,SDP,NL,148,561,510,42,113,13,5,5,48,14,3,42,92,.222,.281,.296,.577,56,151,15,1,5,3,11,*6/H",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
